name,dll,signature,description
alljoyn_msgarg_array_signature,MSAJApi.dll,"UIntPtr alljoyn_msgarg_array_signature(alljoyn_msgarg values, UIntPtr numValues, PSTR str, UIntPtr buf)",待补充
alljoyn_msgarg_hassignature,MSAJApi.dll,"Int32 alljoyn_msgarg_hassignature(alljoyn_msgarg arg, PSTR signature)",待补充
alljoyn_msgarg_getdictelement,MSAJApi.dll,"QStatus alljoyn_msgarg_getdictelement(alljoyn_msgarg arg, PSTR elemSig)",待补充
alljoyn_msgarg_gettype,MSAJApi.dll,alljoyn_typeid alljoyn_msgarg_gettype(alljoyn_msgarg arg),待补充
alljoyn_msgarg_clear,MSAJApi.dll,Void alljoyn_msgarg_clear(alljoyn_msgarg arg),待补充
alljoyn_msgarg_stabilize,MSAJApi.dll,Void alljoyn_msgarg_stabilize(alljoyn_msgarg arg),待补充
alljoyn_msgarg_array_set_offset,MSAJApi.dll,"QStatus alljoyn_msgarg_array_set_offset(alljoyn_msgarg args, UIntPtr argOffset, UIntPtr* numArgs, PSTR signature)",待补充
alljoyn_msgarg_set_and_stabilize,MSAJApi.dll,"QStatus alljoyn_msgarg_set_and_stabilize(alljoyn_msgarg arg, PSTR signature)",待补充
alljoyn_msgarg_set_uint8,MSAJApi.dll,"QStatus alljoyn_msgarg_set_uint8(alljoyn_msgarg arg, Byte y)",待补充
alljoyn_msgarg_set_bool,MSAJApi.dll,"QStatus alljoyn_msgarg_set_bool(alljoyn_msgarg arg, Int32 b)",待补充
alljoyn_msgarg_set_int16,MSAJApi.dll,"QStatus alljoyn_msgarg_set_int16(alljoyn_msgarg arg, Int16 n)",待补充
alljoyn_msgarg_set_uint16,MSAJApi.dll,"QStatus alljoyn_msgarg_set_uint16(alljoyn_msgarg arg, UInt16 q)",待补充
alljoyn_msgarg_set_int32,MSAJApi.dll,"QStatus alljoyn_msgarg_set_int32(alljoyn_msgarg arg, Int32 i)",待补充
alljoyn_msgarg_set_uint32,MSAJApi.dll,"QStatus alljoyn_msgarg_set_uint32(alljoyn_msgarg arg, UInt32 u)",待补充
alljoyn_msgarg_set_int64,MSAJApi.dll,"QStatus alljoyn_msgarg_set_int64(alljoyn_msgarg arg, Int64 x)",待补充
alljoyn_msgarg_set_uint64,MSAJApi.dll,"QStatus alljoyn_msgarg_set_uint64(alljoyn_msgarg arg, UInt64 t)",待补充
alljoyn_msgarg_set_double,MSAJApi.dll,"QStatus alljoyn_msgarg_set_double(alljoyn_msgarg arg, Double d)",待补充
alljoyn_msgarg_set_string,MSAJApi.dll,"QStatus alljoyn_msgarg_set_string(alljoyn_msgarg arg, PSTR s)",待补充
alljoyn_msgarg_set_objectpath,MSAJApi.dll,"QStatus alljoyn_msgarg_set_objectpath(alljoyn_msgarg arg, PSTR o)",待补充
alljoyn_msgarg_set_signature,MSAJApi.dll,"QStatus alljoyn_msgarg_set_signature(alljoyn_msgarg arg, PSTR g)",待补充
alljoyn_msgarg_get_uint8,MSAJApi.dll,"QStatus alljoyn_msgarg_get_uint8(alljoyn_msgarg arg, Byte* y)",待补充
alljoyn_msgarg_get_bool,MSAJApi.dll,"QStatus alljoyn_msgarg_get_bool(alljoyn_msgarg arg, Int32* b)",待补充
alljoyn_msgarg_get_int16,MSAJApi.dll,"QStatus alljoyn_msgarg_get_int16(alljoyn_msgarg arg, Int16* n)",待补充
alljoyn_msgarg_get_uint16,MSAJApi.dll,"QStatus alljoyn_msgarg_get_uint16(alljoyn_msgarg arg, UInt16* q)",待补充
alljoyn_msgarg_get_int32,MSAJApi.dll,"QStatus alljoyn_msgarg_get_int32(alljoyn_msgarg arg, Int32* i)",待补充
